Date hr VCD Error 
20020924 12 273.3 14.0 
20020924 18 272.5 15.0 
20020925 00 267.9 15.0 
20020925 06 278.8 16.0 
20020925 12 284.6 16.4 
20020925 18 296.0 17.0 
20020926 00 294.6 17.0 
20020926 06 299.0 16.4 
20020926 12 300.9 16.0 
20020926 18 310.6 17.0 
20020927 00 298.4 17.0 
20020927 06 292.0 17.6 
20020927 12 289.8 18.0 
20020927 18 287.5 19.0 
20020928 00 282.5 20.0 
20020928 06 276.7 19.0 
20020928 12 274.9 19.0 
20020928 18 281.2 20.0 
20020929 00 291.8 21.0 
20020929 06 297.9 22.0 
20020929 12 286.5 22.0 
20020929 18 269.5 22.0 
20020930 00 274.1 23.4 
20020930 06 283.3 23.4 
20020930 12 289.2 23.0 
20020930 18 290.6 23.4 
20030901 00 193.8 15.6 
20030901 06 200.7 18.6 
20030901 12 202.9 23.7 
20030901 18 211.9 31.7 
20030902 00 234.4 35.6 
20030902 06 251.9 32.6 
20030902 12 227.9 22.2 
20030902 18 208.4 14.6 
20030903 00 205.6 13.2 
20030903 06 201.3 13.2 
20030903 12 191.2 12.7 
20030903 18 189.8 14.2 
20030904 00 188.9 14.2 
20030904 06 196.4 13.2 
20030904 12 185.5 10.2 
20030904 18 182.1 9.6 
20030905 00 189.9 9.6 
20030905 06 201.0 11.6 
20030905 12 194.5 11.2 
20030905 18 186.9 11.6 
20030906 00 181.7 12.6 
20030906 06 176.3 13.6 
20030906 12 176.4 15.6 
20030906 18 180.4 18.6 
20030907 00 185.2 21.6 
20030907 06 190.6 25.6 
20030907 12 205.7 29.6 
20030907 18 211.3 33.0 
20030908 00 217.8 35.0 
20030908 06 227.7 36.0 
20030908 12 229.6 28.2 
20030908 18 227.8 28.7 
20030909 00 229.9 31.2 
20030909 06 246.1 31.6 
20030909 12 248.5 18.7 
20030909 18 226.3 16.2 
20030910 00 198.2 14.6 
20030910 06 170.0 13.2 
20030910 12 154.1 7.2 
20030910 18 149.5 9.6 
20030911 00 150.4 10.2 
20030911 06 152.3 11.6 
20030911 12 155.3 8.2 
20030911 18 166.7 9.2 
20030912 00 177.9 11.2 
20030912 06 182.9 12.7 
20030912 12 190.2 8.7 
20030912 18 189.7 9.6 
20030913 00 172.2 11.6 
20030913 06 162.8 12.0 
20030913 12 167.1 6.6 
20030913 18 156.4 9.6 
20030914 00 150.0 11.0 
20030914 06 152.1 12.0 
20030914 12 136.6 5.6 
20030914 18 129.4 8.6 
20030915 00 130.5 10.0 
20030915 06 132.3 10.0 
20030915 12 136.3 6.0 
20030915 18 135.6 8.0 
20030916 00 139.3 9.6 
20030916 06 155.4 11.0 
20030916 12 152.2 5.6 
20030916 18 141.4 8.6 
20030917 00 141.8 9.6 
20030917 06 150.6 10.0 
20030917 12 142.3 5.0 
20030917 18 134.7 7.0 
20030918 00 130.0 8.0 
20030918 06 129.4 9.0 
20030918 12 122.0 5.0 
20030918 18 128.1 7.0 
20030919 00 135.6 8.0 
20030919 06 147.1 9.0 
20030919 12 156.0 5.0 
20030919 18 156.6 7.0 
20030920 00 151.6 8.0 
20030920 06 141.4 9.0 
20030920 12 129.1 4.7 
20030920 18 118.8 7.0 
20030921 00 120.1 8.0 
20030921 06 125.3 9.0 
20030921 12 118.9 4.6 
20030921 18 126.2 7.0 
20030922 00 130.3 8.0 
20030922 06 135.4 9.0 
20030922 12 123.4 4.0 
20030922 18 123.3 7.0 
20030923 00 124.2 8.0 
20030923 06 129.7 9.0 
20030923 12 126.9 5.0 
20030923 18 122.0 7.0 
20030924 00 130.0 8.0 
20030924 06 133.7 9.0 
20030924 12 120.9 4.4 
20030924 18 120.1 7.0 
20030925 00 121.9 8.0 
20030925 06 123.3 9.0 
20030925 12 116.5 4.0 
20030925 18 120.5 7.0 
20030926 00 122.8 8.0 
20030926 06 129.2 9.0 
20030926 12 125.0 4.0 
20030926 18 129.4 7.0 
20030927 00 131.6 8.0 
20030927 06 136.0 9.0 
20030927 12 129.4 4.0 
20030927 18 129.4 7.0 
20030928 00 132.7 8.0 
20030928 06 132.2 9.0 
20030928 12 119.9 5.0 
20030928 18 115.7 8.0 
20030929 00 114.8 9.0 
20030929 06 117.5 9.0 
20030929 12 121.8 4.0 
20030929 18 125.9 7.0 
20030930 00 124.9 8.0 
20030930 06 124.2 9.0 
20030930 12 123.7 4.0 
20030930 18 126.0 7.0 
20040901 00 252.8 35.6 
20040901 06 268.6 38.0 
20040901 12 275.2 34.2 
20040901 18 266.2 18.3 
20040902 00 255.1 18.2 
20040902 06 236.7 20.6 
20040902 12 221.9 16.7 
20040902 18 213.3 15.2 
20040903 00 213.9 16.6 
20040903 06 211.7 16.6 
20040903 12 210.2 12.2 
20040903 18 208.1 12.2 
20040904 00 203.5 11.6 
20040904 06 214.6 10.6 
20040904 12 211.9 8.6 
20040904 18 217.7 11.0 
20040905 00 233.7 10.0 
20040905 06 225.7 9.0 
20040905 12 214.9 8.0 
20040905 18 209.5 9.0 
20040906 00 202.7 8.6 
20040906 06 186.4 9.0 
20040906 12 181.9 5.6 
20040906 18 183.8 7.0 
20040907 00 186.6 8.0 
20040907 06 182.4 8.0 
20040907 12 185.9 6.0 
20040907 18 183.0 7.0 
20040908 00 189.3 8.0 
20040908 06 193.4 8.6 
20040908 12 188.6 6.6 
20040908 18 188.7 7.0 
20040909 00 198.1 8.0 
20040909 06 202.7 9.0 
20040909 12 195.4 5.6 
20040909 18 192.1 7.6 
20040910 00 190.8 9.6 
20040910 06 199.3 11.6 
20040910 12 197.6 6.2 
20040910 18 195.7 9.2 
20040911 00 181.0 10.6 
20040911 06 181.8 11.6 
20040911 12 175.0 5.6 
20040911 18 178.8 7.9 
20040912 00 188.2 9.0 
20040912 06 187.8 10.0 
20040912 12 183.4 10.0 
20040912 18 171.3 10.0 
20040913 00 160.1 9.0 
20040913 06 167.0 9.0 
20040913 12 150.7 4.6 
20040913 18 162.9 7.0 
20040914 00 162.3 8.0 
20040914 06 167.0 9.0 
20040914 12 159.6 4.6 
20040914 18 176.7 7.0 
20040915 00 174.1 8.0 
20040915 06 168.1 9.0 
20040915 12 166.2 7.0 
20040915 18 167.8 7.0 
20040916 00 168.4 8.0 
20040916 06 172.0 9.0 
20040916 12 169.4 4.0 
20040916 18 175.6 7.0 
20040917 00 182.8 9.0 
20040917 06 192.8 11.0 
20040917 12 188.5 4.0 
20040917 18 201.5 7.0 
20040918 00 205.1 8.0 
20040918 06 202.5 9.0 
20040918 12 178.9 4.0 
20040918 18 152.2 6.0 
20040919 00 172.4 7.0 
20040919 06 172.3 8.8 
20040919 12 182.9 4.0 
20040919 18 175.4 6.8 
20040920 00 159.7 8.0 
20040920 06 161.9 9.0 
20040920 12 163.3 4.0 
20040920 18 161.8 7.0 
20040921 00 161.4 8.0 
20040921 06 163.2 9.0 
20040921 12 166.0 10.0 
20040921 18 169.3 11.0 
20040922 00 168.2 11.4 
20040922 06 166.0 12.4 
20040922 12 158.0 4.0 
20040922 18 153.4 7.0 
20040923 00 147.3 8.0 
20040923 06 144.1 9.0 
20040923 12 141.7 10.0 
20040923 18 153.9 11.0 
20040924 00 169.0 12.0 
20040924 06 172.6 12.0 
20040924 12 160.6 5.0 
20040924 18 164.0 8.0 
20040925 00 167.0 11.4 
20040925 06 164.6 12.4 
20040925 12 152.8 4.0 
20040925 18 149.0 7.0 
20040926 00 147.5 8.0 
20040926 06 150.8 9.0 
20040926 12 150.9 4.0 
20040926 18 148.4 7.0 
20040927 00 153.0 8.0 
20040927 06 162.1 9.0 
20040927 12 148.0 4.0 
20040927 18 143.2 7.0 
20040928 00 143.4 8.0 
20040928 06 146.6 9.0 
20040928 12 137.3 4.0 
20040928 18 138.6 7.0 
20040929 00 141.7 8.0 
20040929 06 149.9 9.4 
20040929 12 151.4 4.0 
20040929 18 148.2 7.0 
20040930 00 150.6 8.0 
20040930 06 156.8 9.0 
20040930 12 152.4 4.0 
20040930 18 152.6 7.0 
