Date hr VCD Error 
20041226 06 309.4 10.8 
20041226 12 311.2 7.0 
20041226 18 310.9 11.0 
20041227 00 315.3 13.0 
20041227 06 321.2 14.8 
20041227 12 309.4 6.0 
20041227 18 308.7 10.0 
20041228 00 310.4 12.0 
20041228 06 302.9 7.8 
20041228 12 315.7 6.0 
20041228 18 312.6 10.0 
20041229 00 309.0 12.0 
20041229 06 304.2 14.0 
20041229 12 297.3 6.0 
20041229 18 299.8 10.0 
20041230 00 302.7 12.4 
20041230 06 295.2 5.4 
20041230 12 296.2 6.0 
20041230 18 298.4 10.0 
20041231 00 302.0 12.0 
20041231 06 306.0 6.0 
20041231 12 309.1 6.0 
20041231 18 317.5 10.0 
